ICAO,City,State
KABE,Allentown,Pennsylvania
KABI,Abilene,Texas
KABQ,Albuquerque,New Mexico
KABR,Aberdeen,South Dakota
KABY,Albany,Georgia
KACK,Nantucket,Massachusetts
KACT,Waco,Texas
KACV,Arcata/Eureka,California
KACY,Atlantic City,New Jersey
KAEX,Alexandria,Louisiana
KAGS,Augusta,Georgia
KALB,Albany,New York
KALO,Waterloo,Iowa
KALW,Walla Walla,Washington
KAMA,Amarillo,Texas
KAPN,Alpena,Michigan
KART,Watertown,New York
KASE,Aspen,Colorado
KATL,Atlanta,Georgia
KATW,Appleton,Wisconsin
KAUS,Austin,Texas
KAVL,Asheville,North Carolina
KAVP,Wilkes-Barre/Scranton,Pennsylvania
KAZO,Kalamazoo/Battle Creek,Michigan
KBDL,Hartford,Connecticut
KBFF,Scottsbluff,Nebraska
KBFI,Seattle,Washington
KBFL,Bakersfield,California
KBGM,Binghamton,New York
KBGR,Bangor,Maine
KBHB,Bar Harbor,Maine
KBHM,Birmingham,Alabama
KBIL,Billings,Montana
KBIS,Bismarck,North Dakota
KBJI,Bemidji,Minnesota
KBLI,Bellingham,Washington
KBLV,Belleville,Illinois
KBMI,Bloomington/Normal,Illinois
KBNA,Nashville,Tennessee
KBOI,Boise,Idaho
KBOS,Boston,Massachusetts
KBPT,Beaumont/Port Arthur,Texas
KBQK,Brunswick,Georgia
KBRD,Brainerd,Minnesota
KBRO,Brownsville,Texas
KBTM,Butte,Montana
KBTR,Baton Rouge,Louisiana
KBTV,Burlington,Vermont
KBUF,Buffalo,New York
KBUR,Burbank,California
KBVU,Boulder City,Nevada
KBWI,Baltimore/Glen Burnie,Maryland
KBZN,Bozeman,Montana
KCAE,Columbia,South Carolina
KCAK,Akron/Canton,Ohio
KCEC,Crescent City,California
KCHA,Chattanooga,Tennessee
KCHO,Charlottesville,Virginia
KCHS,Charleston,South Carolina
KCIC,Chico,California
KCID,Cedar Rapids,Iowa
KCIU,Sault Ste. Marie,Michigan
KCKB,Clarksburg,West Virginia
KCLE,Cleveland,Ohio
KCLL,College Station,Texas
KCLM,Port Angeles,Washington
KCLT,Charlotte,North Carolina
KCMH,Columbus,Ohio
KCMI,Champaign/Urbana,Illinois
KCMX,Hancock/Calumet,Michigan
KCOD,Cody,Wyoming
KCOS,Colorado Springs,Colorado
KCOU,Columbia,Missouri
KCPR,Casper,Wyoming
KCRP,Corpus Christi/Kingsville,Texas
KCRQ,Carlsbad,California
KCRW,Charleston,West Virginia
KCSG,Columbus,Georgia
KCVG,Covington,Kentucky
KCVX,Charlevoix,Michigan
KCWA,Wausau,Wisconsin
KCYS,Cheyenne,Wyoming
KDAB,Daytona Beach,Florida
KDAL,Dallas,Texas
KDAY,Dayton,Ohio
KDBQ,Dubuque,Iowa
KDCA,Washington, D.C./Arlington County,Virginia
KDEN,Denver,Colorado
KDFW,Dallas-Fort Worth,Texas
KDHN,Dothan,Alabama
KDIK,Dickinson,North Dakota
KDLH,Duluth,Minnesota
KDRO,Durango,Colorado
KDRT,Del Rio,Texas
KDSM,Des Moines,Iowa
KDTW,Detroit/Romulus,Michigan
KEAR,Kearney,Nebraska
KEAT,Wenatchee,Washington
KEAU,Eau Claire,Wisconsin
KECP,Panama City Beach,Florida
KEGE,Eagle,Colorado
KEKO,Elko,Nevada
KELM,Elmira/Corning,New York
KELP,El Paso,Texas
KENV,Wendover,Utah
KERI,Erie,Pennsylvania
KESC,Escanaba,Michigan
KEUG,Eugene,Oregon
KEVV,Evansville,Indiana
KEWN,New Bern,North Carolina
KEWR,Newark,New Jersey
KEYW,Key West,Florida
KFAR,Fargo,North Dakota
KFAT,Fresno,California
KFAY,Fayetteville,North Carolina
KFHR,Friday Harbor,Washington
KFLG,Flagstaff,Arizona
KFLL,Fort Lauderdale,Florida
KFLO,Florence,South Carolina
KFMN,Farmington,New Mexico
KFNT,Flint,Michigan
KFSD,Sioux Falls,South Dakota
KFSM,Fort Smith,Arkansas
KFWA,Fort Wayne,Indiana
KGCC,Gillette,Wyoming
KGCK,Garden City,Kansas
KGCN,Grand Canyon/Tusayan,Arizona
KGEG,Spokane,Washington
KGFK,Grand Forks,North Dakota
KGGG,Longview,Texas
KGJT,Grand Junction,Colorado
KGNV,Gainesville,Florida
KGPI,Kalispell,Montana
KGPT,Gulfport/Biloxi,Mississippi
KGRB,Green Bay,Wisconsin
KGRI,Grand Island,Nebraska
KGRK,Fort Hood/Killeen/Temple,Texas
KGRR,Grand Rapids,Michigan
KGSO,Greensboro,North Carolina
KGSP,Greer,South Carolina
KGTF,Great Falls,Montana
KGTR,Columbus/West Point/Starkville,Mississippi
KGUC,Gunnison,Colorado
KHDN,Hayden,Colorado
KHGR,Hagerstown,Maryland
KHIB,Hibbing,Minnesota
KHLN,Helena,Montana
KHOB,Hobbs,New Mexico
KHOU,Houston,Texas
KHPN,White Plains,New York
KHRL,Harlingen,Texas
KHSV,Huntsville,Alabama
KHTS,Huntington,West Virginia
KHVN,New Haven,Connecticut
KHXD,Hilton Head Island,South Carolina
KHYA,Hyannis,Massachusetts
KIAD,Washington, D.C./Dulles/Chantilly,Virginia
KIAG,Niagara Falls,New York
KIAH,Houston,Texas
KICT,Wichita,Kansas
KIDA,Idaho Falls,Idaho
KIFP,Bullhead City,Arizona
KILM,Wilmington,North Carolina
KIMT,Iron Mountain/Kingsford,Michigan
KIND,Indianapolis,Indiana
KINL,International Falls,Minnesota
KIPT,Williamsport,Pennsylvania
KISN,Williston,North Dakota
KISP,Islip,New York
KITH,Ithaca,New York
KIWA,Mesa,Arizona
KJAC,Jackson,Wyoming
KJAN,Jackson,Mississippi
KJAX,Jacksonville,Florida
KJFK,New York,New York
KJLN,Joplin,Missouri
KLAN,Lansing,Michigan
KLAR,Laramie,Wyoming
KLAS,Las Vegas,Nevada
KLAW,Lawton,Oklahoma
KLAX,Los Angeles,California
KLBB,Lubbock,Texas
KLBE,Latrobe,Pennsylvania
KLCH,Lake Charles,Louisiana
KLCK,Columbus,Ohio
KLEB,Lebanon,New Hampshire
KLEX,Lexington,Kentucky
KLFT,Lafayette,Louisiana
KLGA,New York,New York
KLGB,Long Beach,California
KLIT,Little Rock,Arkansas
KLMT,Klamath Falls,Oregon
KLNK,Lincoln,Nebraska
KLRD,Laredo,Texas
KLSE,La Crosse,Wisconsin
KLUK,Cincinnati,Ohio
KLWB,Lewisburg,West Virginia
KLWS,Lewiston,Idaho
KLYH,Lynchburg,Virginia
KMAF,Midland,Texas
KMBS,Saginaw,Michigan
KMCI,Kansas City,Missouri
KMCO,Orlando,Florida
KMDT,Harrisburg/Middletown,Pennsylvania
KMDW,Chicago,Illinois
KMEM,Memphis,Tennessee
KMFE,McAllen,Texas
KMFR,Medford,Oregon
KMGM,Montgomery,Alabama
KMGW,Morgantown,West Virginia
KMHK,Manhattan,Kansas
KMHT,Manchester,New Hampshire
KMIA,Miami,Florida
KMKE,Milwaukee,Wisconsin
KMKG,Muskegon,Michigan
KMLB,Melbourne,Florida
KMLI,Moline,Illinois
KMLU,Monroe,Louisiana
KMMH,Mammoth Lakes,California
KMOB,Mobile,Alabama
KMOD,Modesto,California
KMOT,Minot,North Dakota
KMRY,Monterey,California
KMSN,Madison,Wisconsin
KMSO,Missoula,Montana
KMSP,Minneapolis,Minnesota
KMSY,New Orleans,Louisiana
KMTJ,Montrose,Colorado
KMVY,Vineyard Haven,Massachusetts
KMWA,Marion,Illinois
KMYR,Myrtle Beach,South Carolina
KNYL,Yuma,Arizona
KOAJ,Jacksonville,North Carolina
KOAK,Oakland,California
KOKC,Oklahoma City,Oklahoma
KOMA,Omaha,Nebraska
KONT,Ontario,California
KORD,Chicago,Illinois
KORF,Norfolk,Virginia
KORH,Worcester,Massachusetts
KOTH,North Bend,Oregon
KOWB,Owensboro,Kentucky
KPAH,Paducah,Kentucky
KPBG,Plattsburgh,New York
KPBI,West Palm Beach,Florida
KPDX,Portland,Oregon
KPGA,Page,Arizona
KPGD,Punta Gorda,Florida
KPGV,Greenville,North Carolina
KPHF,Newport News,Virginia
KPHL,Philadelphia,Pennsylvania
KPHX,Phoenix,Arizona
KPIA,Peoria,Illinois
KPIB,Hattiesburg/Laurel,Mississippi
